"lg","left","right","famID","trait","env","year","marker_name","chr","env_year"
5,109.206,80.068,"combined","feekes_coded","STP",2017,NA,"LG05","STP2017"
5,118.781,60.631,"combined","feekes_coded","TLI",2017,NA,"LG05","TLI2017"
6,0,31.88,"combined","emergence_percent","STP",2017,NA,"LG06","STP2017"
6,0,28.88,"combined","emergence_percent","STP",2018,NA,"LG06","STP2018"
6,0,29.88,"combined","feekes_coded","STP",2018,NA,"LG06","STP2018"
6,104.841,92.477,"combined","emergence_percent","TLI",2017,NA,"LG06","TLI2017"
8,83.435,93.807,"combined","emergence_percent","STP",2018,NA,"LG08","STP2018"
9,39.376,52.037,"combined","emergence_percent","TLI",2017,NA,"LG09","TLI2017"
9,44.383,56.327,"combined","feekes_coded","TLI",2018,NA,"LG09","TLI2018"
9,46.112,58.114,"combined","emergence_percent","TLI",2018,NA,"LG09","TLI2018"
9,120.796,140.173,"combined","emergence_percent","STP",2017,NA,"LG09","STP2017"
11,54.907,58.865,"combined","emergence_percent","STP",2018,NA,"LG11","STP2018"
11,85.565,96.595,"combined","emergence_percent","STP",2018,NA,"LG11","STP2018"
12,34.902,52.462,"combined","emergence_percent","TLI",2017,NA,"LG12","TLI2017"
12,50.462,60.915,"combined","feekes_coded","STP",2018,NA,"LG12","STP2018"
12,62.239,80.844,"combined","emergence_percent","STP",2017,NA,"LG12","STP2017"
12,68.198,71.749,"combined","emergence_percent","STP",2018,NA,"LG12","STP2018"
13,38.243,69.353,"combined","emergence_percent","TLI",2018,NA,"LG13","TLI2018"
13,134.888,165.267,"combined","emergence_percent","TLI",2017,NA,"LG13","TLI2017"
14,121.474,151.111,"combined","emergence_percent","STP",2018,NA,"LG14","STP2018"
15,28.35,51.546,"combined","emergence_percent","STP",2017,NA,"LG15","STP2017"
15,34.668,42.12,"combined","feekes_coded","TLI",2018,NA,"LG15","TLI2018"
17,57.929,75.22,"combined","emergence_percent","STP",2018,NA,"LG17","STP2018"
17,103.541,86.692,"combined","emergence_percent","STP",2018,NA,"LG17","STP2018"
17,105.49,135.696,"combined","emergence_percent","TLI",2017,NA,"LG17","TLI2017"
17,113.883,135.696,"combined","feekes_coded","TLI",2017,NA,"LG17","TLI2017"
17,115.252,135.696,"combined","emergence_percent","TLI",2017,NA,"LG17","TLI2017"
17,121.012,135.696,"combined","feekes_coded","TLI",2017,NA,"LG17","TLI2017"
18,69.619,79.234,"combined","emergence_percent","STP",2017,NA,"LG18","STP2017"
20,106.994,116.943,"combined","emergence_percent","STP",2018,NA,"LG20","STP2018"
21,45.537,70.257,"combined","emergence_percent","STP",2018,NA,"LG21","STP2018"
21,57.995,67.001,"combined","emergence_percent","STP",2017,NA,"LG21","STP2017"
